Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
64,Pantoprazole Sodium Gastro-Resistant & Domperidone Prolonged-Release Capsules IP (Pengin- DSR Capsules),NHD24057D,Jan-24,Dec-25,"M/s.Nest Healthcare Private Limited., Plot No. 300, G.I.D.C., Odhav, Ahmedabad- 382415 (Guj.). India. Mkt By : Megan healthcar, C-403, 4th Floor, Abhishek Complex 1, Opp. Haripura Bus Stop, Babupura, Asarwa, Ahmedabad, Gujarat.","""Dissolution for Domperidone""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
65,Sacubitril and Valsartan Tablets 50 mg (SVJAJ 50),SVA04H24C,Aug-24,Jul-26,"M/s.Bajaj Healthcare Ltd., R.S. No. 1818, Manjusar- Savli Road, At & Post- Manjusar, Tal. Savli Dist. Vadodra - 391775, Gujarat, India.","""Assay""/ content of ""Sacubitril"" and ""Valsartan""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
66,Sodium Chloride Injection I.P. 0.45 % W/V (0.45 NS),1266688H,Jun-24,May-27,"M/s.Shree KrishnaKeshav Laboratories Ltd., Amraiwadi Road, Ahmedabad- 380 008, India",Misbranded,CDTL-Mumbai,,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
67,Hydro Cellular Foam with ART Principle Antibacterial PU top Layer with Silicone Gel (Veflfix-S Border (Sacrum)),10241283L,Oct-24,Sep-27,"M/s Datt Mediproducts Pvt. Ltd., 52-54 & 63-64,Roz-ka-Meo Ind. Area, Nuh.Mewat- 122103, Haryana, India",Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
,,,,,,,,,,,,,
68,Chlorpheniramine Maleate Dextromethorphan Hydrobromide & Phenylephrine HCl Syrup (DXCP),ML-012,Aug-24,Jul-26,"M/s Maha Avtar, Health Care Pvt. Ltd., D-22, Sector-17, Kavi Nagar Indl.Area, GZB-201002.",Identification and Assay of Dextromethorpha n Hydrobromide,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
69,Povidone-Iodine Ointment USP,OI4004A,Sep-24,Aug-26,"M/s. Navkar Lifesciences, Plot No. 76, Lodhi Majra, Industrial Area, Baddi, Distt. Solan (H.P.)",Assay of Povidone Iodine calculated as available Iodine,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
70,"Omega-3 Fatty Acid, Green Tea Extract, Ginkgo Biloba, Ginseng Extract, Grape Seed Extract, Multimineral, Multivitamin with Antioxidants and Trace Elements Softgel Capsules (VRICH-24 CAPSULES)",RHSD-3149F,Feb-24,Jan-26,"M/s.Ramom Healthcare Pvt.Ltd. (An ISO & GMP Certified Company), Plot No.58, Sector-5, Parwanoo (HP)","Assay of Magnesium Oxide calculated as elemental Magnesium, Vitamin D3, Ferrous Fumarate, Zinc Oxide calculated as elemental Zinc, Copper Sulphate Pentahydrate calculated as elemental Copper, Manganese Sulphate calculated as elemental Manganese, Calcium Ascorbate, Citrus Bioflavonoids, Vitamin B6, Folic acid","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,Medium
1,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1317,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
2,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1295,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
3,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1316,Dec-24,Nov-26,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
4,Vitamin B Complex Injection 30 ml (WA-PLEX ),111,Dec-24,May-26,"M/s. Weismanna Health Care Pvt. Ltd., Plot No. 44 &45, Industrial Estate, Ongole- 523002 , Andhra Pradesh",Description and Particulate matter,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
5,Ondansetron Injection IP 2 mg/ml,ONA12515,Jan-25,Dec-26,"M/s. Nandani Medical Laboratories Pvt. Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore.",Particulate matter,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
6,Rabeprazole Sodium Injection IP 20 mg/vial,MD23H27,Aug-23,Jul-25,"M/s. Martin & Brown Bio Sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist. Solan, (H.P.) 173205","pH, Clarity of Solution, Particulate matter, Uniformity of Weight, Assay of Rabeprazole Sodium and Description.","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
7,Enzox Liquid Digestive Supplement,ES-24011/11,Dec-24,May-26,"M/s.Tidal Laboratories Pvt. Ltd. Patch-5, Phase-II Gowalthai, Distt. Bilaspur- 174201 (H.P.), INDIA",Assay/Content of Pepsin activity.,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
8,Ciprofloxacin Injection IP (0.2%w/v) (Ciprox),2250946,Feb-25,Jan-28,"M/s. Otsuka Pharmaceutical India Private Limited, Village- Vasana-Chacharwadi, Tal-",Particulate contamination.,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
9,Dobutamine Hydrochloride Injection IP 5 ml,DBA12404,Aug-24,Jul-26,"M/s. Nandani Medical Laboratories Pvt. Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore",Particulate matter and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
10,Sitagliptin & Metformin Tablets 50 mg + 1000 mg (Sitajack-M ),T-2916,Sep-24,Aug-26,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India)",Assay of Sitagliptin,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
11,Betamethasone Sodium Phosphate Injection IP (Betagin 1 ml),P24L107,Aug-24,Jul-26,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Particulate matter, Assay of Betamethasone Sodium Phosphate and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
12,Pantoprazole for Injection BP 40 mg,AA013026,Jun-23,May-25,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt: Solan, HP-174101",Clarity and Colour of Solution,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
13,Pantoprazole for Injection BP 40 mg,AA013047,Sep-23,Aug-25,"M/s. ANG Lifesciences India Ltd. Village Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt. Solan, HP-174101",Clarity and Colour of Solution,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
14,Sodium Chloride Injection U.S.P.(3% w/v ) (Hypertonic 3NS 100 ml),G250146001,Jan-25,Dec-27,"M/s. Vision Parental Pvt. Ltd., A-2-44,45 Sector-15, GIDA Industrial Area, Gorakphur- 273209 (U.P.), India",Particulate Matter,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
15,Pantoprazole Tablets IP 40 mg,92,Jul-24,Jun-26,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune-411018, India.",Dissolution and Description,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
16,Fexofenadine Tablets IP (Fexodil 180 mg),T-4029,Jan-25,Dec-26,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India)",Dissolution test after 10 min and after 30 min,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
17,Cefixime Tablets IP 200 mg,B240875,Jun-24,May-26,"M/s. Bochem Healthcare Pvt. Ltd. 83,84 Industrial Area, Dewas Road Nagziri, Ujjain 456010 (M.P.) India",Test of “Water”,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
18,Pantoprazole for Injection BP 40 mg,AA013043,Aug-23,Jul-25,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt. Solan, HP-174101",Clarity and colour of solution,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
19,Tranexamic Acid Tablets IP (Trenaxa 500 ),18242021A,Aug-24,Jul-27,"M/s.Macleods Pharmaceuticals Ltd., Khasra No. 21,22,66,67 & 68, Aho- Yangtam, Namchepung, PO: Ranipool, Sikkim-737135",Spurious Identification and Assay of Tranexamic Acid,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
20,Dexamethasone Sodium Phosphate Injection IP (Dexona),N400726,Jun-24,Nov-25,"M/s. Zydus Healthcare Limited, At: PF 61 & 62, Sanand GIDC- II Industrial Estate, Tal: Sanand, Dist.: Ahmedabad- 382110, Gujarat, India","Particulate matter, Assay of Dexamethasone Phosphate and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
21,Bupivacaine Hydrochloride in Dextrose Injection USP 4 ml,17B24005,Sep-24,Aug-26,"M/s. Radiant Parenterals Ltd., 242/4, 5 & 6, G.I.D.C. Estate at & Post Waghodia, Dist- Vadodara, Gujarat-391760","pH, Bacterial Endotoxins Test, Particulate Matter in Injections and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
22,Vitamin B-Complex with Vitamin C and Biotin Capsules (Vitabon ),C-3465,Nov-24,Oct-26,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India).",Assay/content of Calcium Pantothenate,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
23,Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Dorsai),DYC-24007,Apr-24,Mar-26,"M/s. DYCOTT Healthcare, Kh. No-341/1, Vill Dasomajra, P.O. Bhud, Baddi, Distt.-Solan (HP)-173205","Dissolution of Rabeprazole Sodium (acid stage), Dissolution of Rabeprazole Sodium (buffer stage) and Assay of Rabeprazole Sodium","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
24,Buprenorphine Injection I.P. (Talgesic Injection),BUP324002,Jun-24,May-26,"M/s. Indus Pharma Pvt. Ltd., A-181, RIICO, Ghiloth, Alwar, Rajasthan, 301705 (India)","Spurious Identification and Assay of Buprenorphine Hydrochloride, Particulate matter and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
25,Buprenorphin Injection I.P. (Noophin Injection ),LM18898,Nov-22,Oct-28,"M/s. Cooper Pharma Limited, C-3, Industrial Area, Selaqui, Dehradun-248197 (U.K.).","Related Substances, Particulate matter, Sterility , Assay of Buprenorphine Hydrochloride eq. to Buprenorphine and Description","CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
26,Ondansertron Orally Disintegrating Tablets IP 4 mg (ONVIN-4 MD TABLETS ),RV24012,May-24,Apr-26,"M/s. Rivpra Formulation Pvt. Ltd., Plot No. 8, Sector-6A, IIE SIDCUL, Haridwar-249403 (U.K.)",Related Substances,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
27,Aceclofenac & Paracetamol Tablets (Elzefen-P ),PC24021,Mar-24,Feb-26,"M/s. Prochem Pharmaceuticals Pvt. Ltd., 140-141, Makkanpur, Bhagwanpur, Roorkee, Distt. Haridwar, Uttarakhand-247661",Assay of Aceclofenac,"CDL, Kolkata",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
28,Zinc Sulphate Dispersible Tablets IP 20 mg,LMT240804,Jul-24,Jun-26,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Uniformity of Dispersion & Disintegration,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
29,METRONIDAZOLE TABLETS IP (Martigyl- 400),MT-24D03,Apr-24,Mar-26,"M/s.Martin & Brown Bio- sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)- 173205",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
30,Sodium Chloride Injection I.P. (0.9% w/v).. (NS),01BF2354,Mar-24,Feb-27,"M/s. Paschim Banga Pharmaceutical (A Unit Of FARISTA VANIJYA Pvt. Ltd.), NH-31, Tin Mile Hat, Sonapur Hat, P.S. Chopra, Dist:- Uttar Dinajpur, Pin 733 214 (W.B.)",Sterillity & Description,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
31,Disposable Syringes (5ml) (SUI),4051124S11,Nov-24,Oct-27,"M/s Hindustan Ultra Care Limited, Village, Mandana, Jhalawar Road, NH-52, Kota (Rajasthan), India - 325003",Sterillity,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
32,Telmisartan Tablets IP 40mg,251TTF025,Dec-24,Nov-27,"M/s. Swiss Garnier Life Sciences, 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh- 174 315. INDIA",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
33,Telmisartan Tablets IP 40 mg,251TTF036,Dec-24,Nov-26,"M/s. Swiss Garnier Life Sciences, 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh- 174 315. INDIA",Dissolution,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
34,Dicyclomine Hydrochloride Tablets IP 10 mg,TK24-08,Nov-24,Oct-26,"M/s.Om Biomedic Pvt. Ltd..,, Plot No. 68, 69, 82 & 83, Sector - 6A, IIE, SIDCUL, Haridwar-249 403 (U.K.)",Description,"RDTL, Guwahati",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
35,ALBENDAZOLE TABLETS I.P.,PGT24407,Jul-24,Jun-27,"M/s. Affy Parenterals, Vill,.Gullarwala, P.O.Baddi, Distt. Solan-173205 (HP)",Dissolution of Albendazole,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
36,Sildenafil citrate oral jelly 5 gm (King of jelly),25005,Feb-25,Jan-28,"M/s Banson Pharmaceuticals Pvt.Ltd., C-9, C10, Focal Point, Nabha-147201",Description and Assay of Sildenafil Citrate,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
37,Ofloxacin Tablets IP 200 mg,DL-55,Oct-24,Sep-26,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron, Kala-Amb, Tehsil Nahan, District Sirmour, H.P.-17030",Dissolution and Assay of Ofloxacin,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
38,Ofloxacin and Ornidazole Tablets IP 200 mg+500mg,DL-136,Dec-24,Nov-26,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron,","Uniformity of weight, Dissolution of Ornidazole,","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
39,Azithromycin Tablets IP 500 mg,DL-52,Oct-24,Sep-26,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron, Kala-Amb, Tehsil Nahan, District Sirmour, H.P.-17030","Dissolution, Uniformity of weight and Assay of Azithromycin Dihydrate calculated as Azithromycin","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
40,Metronidazole Tablets IP 400 mg,B240578,May-24,Apr-27,"M/s.Bochem Healthcare Pvt. Limited, 83-84, Industrial Area, Dewas Road, Nagziri, Ujjain 45601-(M.P.) India",Dissolution,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
41,Amoxycillin and Potassium Clavulanate with Lactic Acid Bacillus Tablets (Polo-625 LB Tablets),PL2406001,Oct-24,Nov-26,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification and Assay of Amoxycillin Trihydrate, Potassium Clavulanate and Lactic Acid Bacillus","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
42,Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),Not mentioned,NM,NM,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification, Dissolution and Assay of Azithromycin Dihydrate Calculated as Anhydrous Azithromycin","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
43,Cefixime and Lactic Acid Bacillus Dispersible Tablets (Micoceff-LB 200 Tablets),CFL2411001,Nov-24,Oct-26,"M/s. Maxcel Life Care, 302/304 A, Gitanjali Apartment Shanti Nagar, Mumbai (Thane)-53.)",Identification and Assay of Cefixime Trihydate and Lactic Acid Bacillus,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
44,Amoxycillin and Potassium Clavulanate Tablets IP (Rumentin-625 Tablets),RUM241100 2,Nov-24,Oct-26,"M/s. Rextuse Pharmaceuticals, Ind. Area, Phase-I, Haridwar, Uttrakhand 249401",Identification and Assay of Amoxycillin Trihydrate and Potassium Clavulanate and Dissolution of Amoxycillin Trihydrate and Potassium Clavulanate,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
45,Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),AZR2411010,Jan-25,Dec-26,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification, Dissolution and the Assay of Azithromycin","RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
46,Pantoprazole Gastro resistant &Domperidone prolonged release Capsules IP,PZD242206,Jan-25,Dec-26,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103",Identification and Assay of Pantoprazole Sodium calculated as Pantoprazole and Domperidone and the Dissolution of Pantoprazole Sodium calculated as Pantoprazle.,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
47,Injection Oxytocin Vet. 100 ml Vial,Not mentioned,NM,NM,Not mentioned,pH and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
48,Injection Oxytocin Vet. 50 ml Vial,Not mentioned,NM,NM,Not mentioned,pH and Sterility,"RDTL, Chandigarh",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
49,Amoxycillin Trihydrate Capsules I.P. (Zymox-500 (Yellow)),ZYMC-2407,Apr-24,Apr-26,"M/s. Laborate Pharmaceuticals India Ltd., 51, Indl. Area, Panta Sahib (H.P.) Manufatured for :gpp AZALADE (A division of Laborate Pharmaceuticals India Ltd), 101, Kohand- Assandh Road, V.P.O. Salwan, Haryana 132046.","""Assay/ content of Amoxycillin""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
50,SPORLAC Tablets (Tablets of Probiotics),MS024004,Apr-24,May-26,"M/s.J.B. Chemicals & Pharmaceuticals Ltd., Plot No.25 & 26, Pharmacity, Selaqui, Dehradun, Uttarakhand.","""Identification of Bacillus clausii""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
51,"Paracetamol 250 mg & Mefenamic Acid 100 mg Suspension, 60 ml (Pacimol MF 250 Suspension)",INC014022R,Apr-24,Mar-26,"M/s.Ipca Laboratories Ltd., Sejavta, Ratlam 457 001","""Assay of Paracetamol and Mefenamic Acid""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
52,Clopidogrel & Aspirin Tablets (75 mg/ 75 mg),GT241288,Jul-24,Jun-26,"M/s. Theon Pharmaceuticals Ltd., Vill. Saini Majra, Tehsil Nalagarh, Distt. Solan (H.P.) 174 101.","""Description""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
53,MULTIPLE ELECTROLYTES AND DEXTROSE INJ. TYPE-1 I.P. (AROLYTE P),1227421S,Dec-24,Nov-27,"M/s. Shree KrishnaKeshav Laboratories Ltd.,Amraiwadi Road, Ahmedabad- 380 008,","""Assay of Potassium""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
54,Haematinic Capsules (R.B. TONE),D40652,Nov-24,Oct-26,"M/s. Medley Pharmaceuticals Ltd., Plot No. 18 & 19, Zari Causeway Road, Kachigam Daman, INDIA","""Microbial limit test (Total combined yeasts/molds count)""",CDTL-Mumbai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
55,Aceclofenac Tablets I.P 100 mg,T4167,May-24,Apr-26,"M/s. Zest Pharama, 275, Sector ""F"" Sanwer Road, Indore - 452 015",Description,CDTL- Indore,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
56,Paracetamol Tablet I.P 500 mg,KA1334,Dec-23,Nov-26,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited, Plot No. 37, Site No. 34/4, NTTF Main Road, II Phase, Peenyas Industrial Area, Bengaluru- 560058, India",Description,CDTL- Indore,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
57,Betahistine Dihydrochloride Tablet I.P (CGHEST-8),CT24250284 A,May-24,Apr-26,"M/s. CMG Biotech Pvt. Ltd (Unit II), Plot No. 58, Phase III, Industrial Area, Sansarpur Terrace, H.P - 176501",Description,CDTL- Indore,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
58,Sucralfate Oral Suspension (AXID 200),624-470,Jun-24,May-26,"M/s.Zee Laboratories Ltd., 47, Industrial Area, Paonta, Sahib - 173 025",The sample does not conform to claim standards with respect to Description,CDTL- Chennai,,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,Medium
23,Dmex Colecalciferol (Vitamin D3) Tablets B.P.,4D077301,Sep-23,Aug-26,"M/s Aeron Lifesciences Pvt Ltd, Kathwada, Ahmedabad as per the Investigation Report",Assay of Cholecalciferol,,"Drugs Inspector, Ahmedabad Zone",As per the Investigation report the product is purported to be Spurious.,Revised Alert,CDSCO,Revise Drug Alert for the Month of January2025.pdf,Medium
19,Tranexamic Acid Tablets IP (Trenaxa 500),18242021A,Aug-24,Jul-27,Under Investigation,Identification and Assay of Tranexamic Acid,,"Drugs Inspector, Bihar","The product is purported to be spurious, however, the same is subject to outcome of further investigation.",Revised Alert,CDSCO,Revisealert May-2025.pdf,Medium
1,Lorazepam Tablets I.P (1 mg),3305,Apr-24,Mar-28,"M/s. Reliance Formulation Pvt. Ltd., 7/2-A, G.I.D.C. Estate, Phase- 1 Vatva, Ahemedabad-382445",Assay for Lorazepam” and “Dissolution Test,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
2,Telapp MT 25 (Telmisartan & Metoprolol Succinate (ER) Tablets),T24H459A,Aug-24,Jul-26,"M/s. Bajaj Formulation, Khasra No.161, Village-Lakeshwary Bhagwanpur, Roorkee Distt: Haridwar (UK)",Assay for Metoprolol Tartrate,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
3,Pantrum-40 Tablets (Pantoprazole Gastro- Restant Tablets IP),HT24686,Aug-24,Jul-26,"M/s. Habitare Pharma pvt. Ltd., Plot No.43-44, Industrial Estate, HSIIDC, Alipur, Barwala, Distt. Panchkula (HR)-134118",Dissolution” and “Description,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
4,Frusemide Injection I.P. 2 ml (Rasix Injection),IFMI415,Sep-24,Aug-26,"M/s. Regain Laboratories, 134/5 H.T.M. Road., Raipur Lane Hisar- 125001",pH” and Sterility,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
5,Methotrexate Injection IP 15 mg/ml (Folitrax-15),AI054J24,Sep-24,Aug-26,"M/s. BDH Industrial Ltd., Nair Baug, Akurli Road, Kandivil (E) Mumbai-400101",Sterility,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
6,Paracetamol Tablets I.P 500 mg,2511723,Feb-23,Jan-26,"M/s. Karnataka Antibiotics & Pharmaceuticals Ltd., Plot No.14, II Phase, Peenya Industrial Area, Bengaluru-560058",Description,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
7,"Iron Sucrose Injection USP (Irolink Injection),",L0372321C,Oct-23,Sep-25,"M/s. Protech Telelinks, Mauza Ogli, Suketi Road Kala Amb, Distt. Sirmour-173030 (H.P)",Sterility,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
8,Dexamethasone Sodium Phosphate Injection I.P (Dexasun-For IM & IV use only),HLI380C,Mar-24,Feb-26,"M/s. Himalaya Meditek (P) Ltd., Plot No. 35 & 36, Pharmacity, Selaqui Industrial Area, Dehradun- 248197",Sterility and Assay for Dexamethasone Phosphate,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
9,Oxytetracycline Dihydrate Inj. I.P. (OXY-LA Injection Vet.),OTL-4449,Nov-24,Oct-26,"M/s. Biograde Organics Pvt. Ltd., (AN ISo 9001:2015 & GMP Certified Company), Village Noorwala, Hosiery Complex, Ludhiana (Pb)-141007",Description,Karnataka,,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
