S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
47.,Alprazolam Tablets I.P. 0.50 mg (Calmpik-05),AT24266,07/2024,06/2027,"M/s. Aarpik Pharmaceuticals Pvt.Ltd., C1/306/5,Kerala G. I.D.C,Kerala Bavla Road,Dist. Ahmedabad",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
48.,Calcium 500 mg with Vitamin D3 250 IU Tablets IP,LMT240449,04/2024,03/2026,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Dissolution (Calcium) and Assay of Vitamin D3,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
49.,Calcium And Vitamin D3 Tablets IP,07493,01/2024,12/2025,"M/s. Healthy Life Pharma Pvt. Ltd., Factory: N-31/1, M.I.D.C., Tarapur, Boisar - 401 506, Dist. Palghar. Maharashtra",Assay/Content of Vitamin D3,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
50.,Pantoprazole Gastro- Resistant Tablets IP 40 mg (Pantojack-40),T-1261,04/2024,03/2026,"M/s. Jackson Laboratories Pvt.Ltd, 22-24, Majitha Road, Bye Pass, Amritsar-143 001(India)",Description and Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
51.,Telmisartan Tablets I.P. (DV-TELMI-40),GTE2206,08/2024,07/2026,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour (H.P.) - 173 030",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
52.,Telmisartan Tablets IP 40mg,251TTF014,08/2024,07/2026,"M/s. Swiss Garnier Life Sciences, No. 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh-174 315. INDIA",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
53.,Dexamethasone Oral Solution USP 0.5mg per 5ml,LG24-29,07/2024,06/2026,"M/s. Om Biomedic Pvt. Ltd..,, Plot No. 68, 69, 82 & 83, Sector - 6A, IIE, SIDCUL, Haridwar-249 403 (U.K.)",Assay,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
54.,Amoxycillin & Potassium Clavulanate Injection IP.,AB193049A,05/2023,04/2025,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt.: Solan, HP-174101",Assay (Content of Clavulanic Acid),"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
55.,Insulin Syringe (U-40 Insulin 1ml Syringe) (Mr. INJECT),0123338,12/2023,11/2028,"M/s Biomed Healthcare Products Pvt. Ltd.,, Unit-II, Plot No. 62-65, Sector-6A, Sidcul, Haridwar 249403, Uttarakhand, India",Sterility,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
56.,Infusion Set (BMD),BIV-020,08/2024,07/2027,"M/s.Bhagwati Medicare devices, 8, Maruti Industrial Estate, Nr. Sindhvai Mata Temple, C.T.M.- Ramol Road, Amraiwadi, Ahmedabad- 380026. Gujarat (India)",Sterility,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
57.,Amoxycillin & Potasium Clavulanate Tablets I.P. (IPHA CLAV-375),NCP-151,01/2024,06/2025,"M/s. Park Pharmaceuticals, Vill. Kalujhanda, Near Nanakpur, Teh. Baddi, Distt. Solan (H.P.)- 174103",Assay of Clavulanic Acid,"RDTL, Guwahati",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
58.,"Lactulose Solution U.S.P. (Apelact), 200 ml",AFL-121,08/2024,07/2026,"M/s.Apex Formulations Pvt. Ltd., 1276, Raipur, Highway, Dist. Mehsana, Gujarat","""Organic impurities"" and",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,,"""Assay of Lactulose""",,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
59.,"Lactulose Solution U.S.P. (Reevac), 100 ml",R23K015,11/2023,10/2025,"M/s.Rhombus Pharma Private Limited., 816/1, Rakanpur, Kalol- 382721 (Gujarat)","""Organic impurities""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
60.,Albendazole Tablets I.P. (DV-BEND 400),GTE1974,07/2024,06/2026,"M/s Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Dist. Sirmour (H.P.)- 173 030.","""Dissolution""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
61.,Atorvastatin Tablets IP (GATOVAS- 20),CT24250423,06/2024,05/2026,"M/s.CMG Biotech Pvt. Ltd., (Unit-II), Plot No.58, Phase-III, Industrial Area, Sansarpur Terrace, HP- 176501. Mkt By : Same as manufacturer","""Related substances""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
62.,Atorvastatin Tablets IP 10 mg,00 57,09/2024,08/2026,"M/s.Hindustan Antibiotics Ltd., Pimpri, Pune- 411 018, India.","""Related substances""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
63.,Sodium Bicarbonate Tablets U.S.P. 1000 mg,T-2401309,01/2024,12/2025,"M/s.Rivpra Formulation Pvt. Ltd., Plot No.8, Sector-6A, I.I.E., SIDCUL, Haridwar- 249 403 (U.K.). Manufatured for : Pharmaceuticals and Medical Devices Bureau of India (PMBI), 8th Floor, Videocon Tower, Block E-1, Jhandewalan Extension, New Delhi-110 055.","""Description""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
64.,Pantoprazole Sodium Gastro-Resistant & Domperidone Prolonged-Release Capsules IP (Pengin- DSR Capsules),NHD24057D,01/2024,12/2025,"M/s.Nest Healthcare Private Limited., Plot No. 300, G.I.D.C., Odhav, Ahmedabad- 382415 (Guj.). India. Mkt By : Megan healthcar, C-403, 4th Floor, Abhishek Complex 1, Opp. Haripura Bus Stop, Babupura, Asarwa, Ahmedabad, Gujarat.","""Dissolution for Domperidone""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
65.,Sacubitril and Valsartan Tablets 50 mg (SVJAJ 50),SVA04H24C,08/2024,07/2026,"M/s.Bajaj Healthcare Ltd., R.S. No. 1818, Manjusar- Savli Road, At & Post- Manjusar, Tal. Savli Dist. Vadodra - 391775, Gujarat, India.","""Assay""/ content of ""Sacubitril"" and ""Valsartan""",CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
66.,Sodium Chloride Injection I.P. 0.45 % W/V (0.45 NS),1266688H,06/2024,05/2027,"M/s.Shree KrishnaKeshav Laboratories Ltd., Amraiwadi Road, Ahmedabad- 380 008, India",Misbranded,CDTL-Mumbai,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
67.,Hydro Cellular Foam with ART Principle Antibacterial PU top,10241283L,10/2024,09/2027,"M/s Datt Mediproducts Pvt. Ltd., 52-54 & 63-64,Roz-ka-",Sterility,"RDTL, Chandigarh",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
,Layer with Silicone Gel (Veflfix-S Border (Sacrum)),,,,"Meo Ind. Area, Nuh.Mewat- 122103, Haryana, India",,,NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
68.,Chlorpheniramine Maleate Dextromethorphan Hydrobromide & Phenylephrine HCl Syrup (DXCP),ML-012,08/2024,07/2026,"M/s Maha Avtar, Health Care Pvt. Ltd., D-22, Sector-17, Kavi Nagar Indl.Area, GZB-201002.",Identification and Assay of Dextromethorpha n Hydrobromide,"RDTL, Chandigarh",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
69.,Povidone-Iodine Ointment USP,OI4004A,09/2024,08/2026,"M/s. Navkar Lifesciences, Plot No. 76, Lodhi Majra, Industrial Area, Baddi, Distt. Solan (H.P.)",Assay of Povidone Iodine calculated as available Iodine,"RDTL, Chandigarh",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
70.,"Omega-3 Fatty Acid, Green Tea Extract, Ginkgo Biloba, Ginseng Extract, Grape Seed Extract, Multimineral, Multivitamin with Antioxidants and Trace Elements Softgel Capsules (VRICH-24 CAPSULES)",RHSD-3149F,02/2024,01/2026,"M/s.Ramom Healthcare Pvt.Ltd. (An ISO & GMP Certified Company), Plot No.58, Sector-5, Parwanoo (HP)","Assay of Magnesium Oxide calculated as elemental Magnesium, Vitamin D3, Ferrous Fumarate, Zinc Oxide calculated as elemental Zinc, Copper Sulphate Pentahydrate calculated as elemental Copper, Manganese Sulphate calculated as elemental Manganese, Calcium Ascorbate, Citrus Bioflavonoids, Vitamin B6, Folic acid","RDTL, Chandigarh",NSQ,CDSCO,NSQ Alert For The Month of March-2025.pdf,,,,,,,,,,,,,,,,,,
1.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1317,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
2.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1295,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
3.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA-500),GTL1316,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611, 612, Mega GIDC, Kharedi, Dahod - 389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
4.,Vitamin B Complex Injection 30 ml (WA-PLEX ),111,12/2024,05/2026,"M/s. Weismanna Health Care Pvt. Ltd., Plot No. 44 &45, Industrial Estate, Ongole- 523002 , Andhra Pradesh",Description and Particulate matter,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
5.,Ondansetron Injection IP 2 mg/ml,ONA12515,01/2025,12/2026,"M/s. Nandani Medical Laboratories Pvt. Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore.",Particulate matter,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
6.,Rabeprazole Sodium Injection IP 20 mg/vial,MD23H27,08/2023,07/2025,"M/s. Martin & Brown Bio Sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist. Solan, (H.P.) 173205","pH, Clarity of Solution, Particulate matter, Uniformity of Weight, Assay of Rabeprazole Sodium and Description.","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
7.,Enzox Liquid Digestive Supplement,ES-24011/11,12/2024,05/2026,"M/s.Tidal Laboratories Pvt. Ltd. Patch-5, Phase-II Gowalthai, Distt. Bilaspur- 174201 (H.P.), INDIA",Assay/Content of Pepsin activity.,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
8.,Ciprofloxacin Injection IP (0.2%w/v) (Ciprox),2250946,02/2025,01/2028,"M/s. Otsuka Pharmaceutical India Private Limited, Village- Vasana-Chacharwadi, Tal-",Particulate contamination.,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,"Sanand, Dist.-Ahmedabad- 382213, India",,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
9.,Dobutamine Hydrochloride Injection IP 5 ml,DBA12404,08/2024,07/2026,"M/s. Nandani Medical Laboratories Pvt. Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore",Particulate matter and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
10.,Sitagliptin & Metformin Tablets 50 mg + 1000 mg (Sitajack-M ),T-2916,09/2024,08/2026,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India)",Assay of Sitagliptin,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
11.,Betamethasone Sodium Phosphate Injection IP (Betagin 1 ml),P24L107,08/2024,07/2026,"M/s. Paksons Pharmaceuticals Private Limited, 36, Milestone, Delhi Rohtak Road, Sankhol, Bahadurgarh-124507, Haryana","Particulate matter, Assay of Betamethasone Sodium Phosphate and Description","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
12.,Pantoprazole for Injection BP 40 mg,AA013026,06/2023,05/2025,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt: Solan, HP-174101",Clarity and Colour of Solution,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
13.,Pantoprazole for Injection BP 40 mg,AA013047,09/2023,08/2025,"M/s. ANG Lifesciences India Ltd. Village Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt. Solan, HP-174101",Clarity and Colour of Solution,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
14.,Sodium Chloride Injection U.S.P.(3% w/v ) (Hypertonic 3NS 100 ml),G250146001,01/2025,12/2027,"M/s. Vision Parental Pvt. Ltd., A-2-44,45 Sector-15, GIDA Industrial Area, Gorakphur- 273209 (U.P.), India",Particulate Matter,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
15.,Pantoprazole Tablets IP 40 mg,0092,07/2024,06/2026,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune-411018, India.",Dissolution and Description,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
16.,Fexofenadine Tablets IP (Fexodil 180 mg),T-4029,01/2025,12/2026,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India)",Dissolution test after 10 min and after 30 min,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
17.,Cefixime Tablets IP 200 mg,B240875,06/2024,05/2026,"M/s. Bochem Healthcare Pvt. Ltd. 83,84 Industrial Area, Dewas Road Nagziri, Ujjain 456010 (M.P.) India",Test of “Water”,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
18.,Pantoprazole for Injection BP 40 mg,AA013043,08/2023,07/2025,"M/s. ANG Lifesciences India Ltd., Village: Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt. Solan, HP-174101",Clarity and colour of solution,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
19.,Tranexamic Acid Tablets IP (Trenaxa 500 ),18242021A,08/2024,07/2027,"M/s.Macleods Pharmaceuticals Ltd., Khasra No. 21,22,66,67 & 68, Aho- Yangtam, Namchepung, PO: Ranipool, Sikkim-737135",Spurious Identification and Assay of Tranexamic Acid,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
20.,Dexamethasone Sodium Phosphate Injection IP (Dexona),N400726,06/2024,11/2025,"M/s. Zydus Healthcare Limited, At: PF 61 & 62, Sanand GIDC- II Industrial Estate, Tal: Sanand, Dist.: Ahmedabad- 382110, Gujarat, India","Particulate matter, Assay of Dexamethasone Phosphate and Description","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
21.,Bupivacaine Hydrochloride in Dextrose Injection USP 4 ml,17B24005,09/2024,08/2026,"M/s. Radiant Parenterals Ltd., 242/4, 5 & 6, G.I.D.C. Estate at & Post Waghodia, Dist- Vadodara, Gujarat-391760","pH, Bacterial Endotoxins Test, Particulate Matter in Injections and Description","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
22.,Vitamin B-Complex with Vitamin C and Biotin Capsules (Vitabon ),C-3465,11/2024,10/2026,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001 (India).",Assay/content of Calcium Pantothenate,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
23.,Rabeprazole Sodium (EC) & Domperidone (SR) Capsules (Dorsai),DYC-24007,04/2024,03/2026,"M/s. DYCOTT Healthcare, Kh. No-341/1, Vill Dasomajra, P.O. Bhud, Baddi, Distt.-Solan (HP)-173205","Dissolution of Rabeprazole Sodium (acid stage), Dissolution of Rabeprazole Sodium (buffer stage) and Assay of Rabeprazole Sodium","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
24.,Buprenorphine Injection I.P. (Talgesic Injection),BUP324002,06/2024,05/2026,"M/s. Indus Pharma Pvt. Ltd., A-181, RIICO, Ghiloth, Alwar, Rajasthan, 301705 (India)","Spurious Identification and Assay of Buprenorphine Hydrochloride, Particulate matter and Description","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
25.,Buprenorphin Injection I.P. (Noophin Injection ),LM18898,11/2022,10/2028,"M/s. Cooper Pharma Limited, C-3, Industrial Area, Selaqui, Dehradun-248197 (U.K.).","Related Substances, Particulate matter, Sterility , Assay of Buprenorphine Hydrochloride eq. to Buprenorphine and Description","CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
26.,Ondansertron Orally Disintegrating Tablets IP 4 mg (ONVIN-4 MD TABLETS ),RV24012,05/2024,04/2026,"M/s. Rivpra Formulation Pvt. Ltd., Plot No. 8, Sector-6A, IIE SIDCUL, Haridwar-249403 (U.K.)",Related Substances,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
27.,Aceclofenac & Paracetamol Tablets (Elzefen-P ),PC24021,03/2024,02/2026,"M/s. Prochem Pharmaceuticals Pvt. Ltd., 140-141, Makkanpur, Bhagwanpur, Roorkee, Distt. Haridwar, Uttarakhand-247661",Assay of Aceclofenac,"CDL, Kolkata",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
28.,Zinc Sulphate Dispersible Tablets IP 20 mg,LMT240804,07/2024,06/2026,"M/s. Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Uniformity of Dispersion & Disintegration,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
29.,METRONIDAZOLE TABLETS IP (Martigyl- 400),MT-24D03,04/2024,03/2026,"M/s.Martin & Brown Bio- sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)- 173205",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
30.,Sodium Chloride Injection I.P. (0.9% w/v).. (NS),01BF2354,03/2024,02/2027,"M/s. Paschim Banga Pharmaceutical (A Unit Of FARISTA VANIJYA Pvt. Ltd.), NH-31, Tin Mile Hat, Sonapur Hat, P.S. Chopra, Dist:- Uttar Dinajpur, Pin 733 214 (W.B.)",Sterillity & Description,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
31.,Disposable Syringes (5ml) (SUI),4051124S11,11/2024,10/2027,"M/s Hindustan Ultra Care Limited, Village, Mandana, Jhalawar Road, NH-52, Kota (Rajasthan), India - 325003",Sterillity,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
32.,Telmisartan Tablets IP 40mg,251TTF025,12/2024,11/2027,"M/s. Swiss Garnier Life Sciences, 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh- 174 315. INDIA",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
33.,Telmisartan Tablets IP 40 mg,251TTF036,12/2024,11/2026,"M/s. Swiss Garnier Life Sciences, 21-23, Industrial Area, Mehatpur, Dist. Una, Himachal Pradesh- 174 315. INDIA",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
34.,Dicyclomine Hydrochloride Tablets IP 10 mg,TK24-08,11/2024,10/2026,"M/s.Om Biomedic Pvt. Ltd..,, Plot No. 68, 69, 82 & 83, Sector - 6A, IIE, SIDCUL, Haridwar-249 403 (U.K.)",Description,"RDTL, Guwahati",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
35.,ALBENDAZOLE TABLETS I.P.,PGT24407,07/2024,06/2027,"M/s. Affy Parenterals, Vill,.Gullarwala, P.O.Baddi, Distt. Solan-173205 (HP)",Dissolution of Albendazole,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
36.,Sildenafil citrate oral jelly 5 gm (King of jelly),25005,02/2025,01/2028,"M/s Banson Pharmaceuticals Pvt.Ltd., C-9, C10, Focal Point, Nabha-147201",Description and Assay of Sildenafil Citrate,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
37.,Ofloxacin Tablets IP 200 mg,DL-55,10/2024,09/2026,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron, Kala-Amb, Tehsil Nahan, District Sirmour, H.P.-17030",Dissolution and Assay of Ofloxacin,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
38.,Ofloxacin and Ornidazole Tablets IP 200 mg+500mg,DL-136,12/2024,11/2026,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron,","Uniformity of weight, Dissolution of Ornidazole,","RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,"Kala-Amb, Tehsil Nahan, District Sirmour, H.P.-17030",Dissolution of Ofloxacin and Assay of Ofloxacin and Ornidazole,,NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
39.,Azithromycin Tablets IP 500 mg,DL-52,10/2024,09/2026,"M/s. DUTCH Formulations, 32, Industrial Area, Village Johron, Kala-Amb, Tehsil Nahan, District Sirmour, H.P.-17030","Dissolution, Uniformity of weight and Assay of Azithromycin Dihydrate calculated as Azithromycin","RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
40.,Metronidazole Tablets IP 400 mg,B240578,05/2024,04/2027,"M/s.Bochem Healthcare Pvt. Limited, 83-84, Industrial Area, Dewas Road, Nagziri, Ujjain 45601-(M.P.) India",Dissolution,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
41.,Amoxycillin and Potassium Clavulanate with Lactic Acid Bacillus Tablets (Polo-625 LB Tablets),PL2406001,10/2024,11/2026,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification and Assay of Amoxycillin Trihydrate, Potassium Clavulanate and Lactic Acid Bacillus","RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
42.,Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),Not mentioned,NM,NM,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification, Dissolution and Assay of Azithromycin Dihydrate Calculated as Anhydrous Azithromycin","RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
43.,Cefixime and Lactic Acid Bacillus Dispersible Tablets (Micoceff-LB 200 Tablets),CFL2411001,11/2024,10/2026,"M/s. Maxcel Life Care, 302/304 A, Gitanjali Apartment Shanti Nagar, Mumbai (Thane)-53.)",Identification and Assay of Cefixime Trihydate and Lactic Acid Bacillus,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
44.,Amoxycillin and Potassium Clavulanate Tablets IP (Rumentin-625 Tablets),RUM241100 2,11/2024,10/2026,"M/s. Rextuse Pharmaceuticals, Ind. Area, Phase-I, Haridwar, Uttrakhand 249401",Identification and Assay of Amoxycillin Trihydrate and Potassium Clavulanate and Dissolution of Amoxycillin Trihydrate and Potassium Clavulanate,"RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
45.,Azithromycin Tablets IP 250 mg (RICK-250 TABLETS),AZR2411010,01/2025,12/2026,"M/s. Paradox Pharmaceuticals, Kachpura, Baddi, Nalagarh Road Tehsil Nalagarh Dist. Solan (HP)- 174103","Identification, Dissolution and the Assay of Azithromycin","RDTL, Chandigarh",NSQ,CDSCO,NSQ ALERT MAY-2025.pdf,,,,,,,,,,,,,,,,,,
